timestamp,accWrtEarthX,accWrtEarthY,accWrtEarthZ,lat,long,speed,accLiX,accLiY,accLiZ,accX,accY,accZ,magX,magY,magZ,anomalyStatus,
2022-04-15 10:24:17.993,0.0,0.0,0.0,40.4449959,-86.9445489,0.6671362,0.0,0.0,0.0,-2.516053,9.170493,2.099702,54.881252,-52.537502,-4.89375,0,
2022-04-15 10:24:18.192,-0.0207696,0.020124529,0.055629384,40.4449959,-86.9445489,0.6671362,0.051350355,-0.0059137344,0.03548479,-2.4921248,9.15135,1.9334008,54.91875,-52.275,-6.15,0,
2022-04-15 10:24:18.392,-0.037339993,-0.004933983,0.08521273,40.4449959,-86.9445489,0.6671362,0.08760595,-0.022965431,0.0218544,-2.6775684,9.2075815,1.8652053,54.54375,-52.425003,-6.2625003,0,
2022-04-15 10:24:18.591,0.006207848,2.5380496E-4,0.0655055,40.4449959,-86.9445489,0.6671362,0.06022024,0.022838593,0.013471961,-2.5674987,9.12503,2.2097716,55.331253,-53.662502,-4.59375,0,
2022-04-15 10:24:18.791,-0.049356997,0.03701851,0.012814195,40.4449965,-86.9445414,0.7787779,0.009738207,-0.03450489,0.051819563,-2.865405,9.018549,2.1690936,55.031254,-51.693752,-5.8875003,0,
2022-04-15 10:24:18.992,-0.02054206,0.045940105,-0.02762988,40.4449965,-86.9445414,0.7787779,-0.035761833,-0.0126543045,0.04309106,-2.5794628,9.180064,1.989632,54.675003,-51.3375,-7.6125,0,
2022-04-15 10:24:19.191,0.017325414,-0.022371463,-0.011735247,40.4449965,-86.9445414,0.7787779,-0.007886887,0.008112907,-0.028466582,-3.0005996,9.077172,1.9190438,54.693752,-52.0875,-6.5625005,0,
2022-04-15 10:24:19.392,0.035464853,-0.07939336,-0.1493381,40.4449965,-86.9445414,0.7787779,-0.12929249,-0.011419296,-0.11408758,-2.7996025,9.066405,1.9094725,54.787502,-52.256252,-6.8812504,0,
2022-04-15 10:24:19.592,0.04381827,-0.08820736,0.021188613,40.4449965,-86.9445414,0.7787779,0.0382967,0.019206047,-0.09118128,-3.1680973,8.87139,2.0219352,54.91875,-52.443752,-7.8375,0,
2022-04-15 10:24:19.791,0.01956433,-0.023630828,-0.1472925,40.4449979,-86.9445309,0.88865083,-0.13835073,-0.011638641,-0.057964444,-2.6871397,9.068798,1.9920249,54.018753,-51.375004,-7.05,0,
2022-04-15 10:24:19.991,0.0025679073,0.022518031,-0.14686869,40.4449979,-86.9445309,0.88865083,-0.14673185,-0.020654678,-0.011278987,-2.7110682,8.939586,2.0578275,53.5125,-51.787502,-6.80625,0,
2022-04-15 10:24:20.19,0.023720268,-0.02505052,0.17774077,40.4449979,-86.9445309,0.88865083,0.17478251,0.047024727,0.00465858,-2.7505496,9.18485,1.9178474,54.037502,-51.187504,-6.15,0,
2022-04-15 10:24:20.391,0.0086040255,-0.03652401,-0.022112746,40.4449979,-86.9445309,0.88865083,-0.013982534,-0.004190445,-0.04103577,-2.6572297,9.050852,1.8580267,53.79375,-51.862503,-7.0312505,0,
2022-04-15 10:24:20.59,-0.02051074,-0.0024165697,0.05016425,40.4449979,-86.9445309,0.88865083,0.051107645,-0.012888908,0.012840033,-3.1776686,9.226724,1.6797615,53.718754,-53.79375,-6.80625,0,
2022-04-15 10:24:20.791,0.013499798,-0.04762023,-0.019250352,40.4449992,-86.9445203,0.84252626,-0.010658741,-0.0021543503,-0.051983237,-2.725425,9.389436,1.625923,52.800003,-52.7625,-4.5750003,0,
2022-04-15 10:24:20.991,0.05802135,-0.030060649,-0.24406552,40.4449992,-86.9445203,0.84252626,-0.2361567,8.802414E-4,-0.08981836,-2.2767708,9.367901,1.922633,52.500004,-52.687504,-4.4437504,0,
2022-04-15 10:24:21.19,-0.02421198,0.096024334,0.2579731,40.4449992,-86.9445203,0.84252626,0.22739816,0.056822777,0.14634979,-2.5040889,9.104691,1.8329022,52.275,-52.18125,-3.5062501,0,
2022-04-15 10:24:21.39,-0.074641466,-0.008844145,0.073056206,40.4449992,-86.9445203,0.84252626,0.08523893,-0.05546856,0.02538383,-2.6249263,9.38824,1.9058832,51.881252,-52.74375,-3.6750002,0,
2022-04-15 10:24:21.59,-0.0034638848,0.07019573,0.05370724,40.4449992,-86.9445203,0.84252626,0.035302877,0.023316383,0.07767856,-2.416751,9.377472,1.8460627,51.43125,-53.11875,-3.05625,0,
2022-04-15 10:24:21.789,-0.0056683766,0.027737431,0.19443427,40.4449994,-86.94451,0.81986135,0.18188739,0.046996117,0.057571888,-2.6452653,9.341579,1.4991034,51.225002,-53.4,-1.4250001,0,
2022-04-15 10:24:21.992,0.007940531,-0.017596247,-2.565831E-4,40.4449994,-86.94451,0.81986135,0.003314972,0.0049333572,-0.01836896,-2.6213372,8.96471,2.833102,51.412502,-52.93125,0.41250002,0,
2022-04-15 10:24:22.189,0.021040114,0.02324595,-0.13665175,40.4449994,-86.94451,0.81986135,-0.13384938,-0.040854454,-0.00848639,-2.4586253,9.361918,1.8257236,48.018753,-56.287502,4.6687503,0,
2022-04-15 10:24:22.389,-0.026724624,0.048625592,0.025618661,40.4449994,-86.94451,0.81986135,0.022121906,-0.0076732635,0.056450963,-2.4095724,9.542577,1.2299109,49.18125,-53.79375,3.0187502,0,
2022-04-15 10:24:22.589,0.012154984,-0.027611025,0.023013338,40.4449994,-86.94451,0.81986135,0.023689032,0.012691498,-0.02678585,-2.6129622,9.491131,1.2215359,49.2,-53.812504,3.3000002,0,
